Volcano Number,Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
257810,Southern Shepherd Islands,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,,,-17.2525,168.4245,343,,Subduction zone / Intermediate crust (15-25 km)
258005,Volsmar,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Cluster,Volcanic field,,,-21.4847,170.2181,-1600,,Rift zone / Oceanic crust (< 15 km)
259800,Maer Volcanic Province,Australia,Eastern Australia Volcanic Regions,Northeastern Australia Volcanic Province,Cluster,Pyroclastic cone(s),,,-9.717,143.833,171,,Intraplate / Continental crust (>25 km)
259801,Piebald Volcanic Province,Australia,Eastern Australia Volcanic Regions,Northeastern Australia Volcanic Province,Cluster,Shield(s),,,-15.23,145.03,420,,Intraplate / Continental crust (>25 km)
259802,Mclean Volcanic Province,Australia,Eastern Australia Volcanic Regions,Northeastern Australia Volcanic Province,Cluster,Pyroclastic cone(s),,,-15.87,144.83,610,,Intraplate / Continental crust (>25 km)
259803,Atherton Basalt Province,Australia,Eastern Australia Volcanic Regions,Northeastern Australia Volcanic Province,Cluster,Shield(s),,,-17.3,145.72,1160,,Intraplate / Continental crust (>25 km)
259805,Fox,Australia,Eastern Australia Volcanic Regions,Northeastern Australia Volcanic Province,Minor,Pyroclastic cone,,,-18.85,145.8,840,,Intraplate / Continental crust (>25 km)
259806,Chudleigh Volcanic Province,Australia,Eastern Australia Volcanic Regions,Northeastern Australia Volcanic Province,Cluster,Shield(s),,,-19.73,144.2,1000,,Intraplate / Continental crust (>25 km)
259807,Nulla Volcanic Province,Australia,Eastern Australia Volcanic Regions,Northeastern Australia Volcanic Province,Cluster,Shield(s),,,-19.82,145.08,840,,Intraplate / Continental crust (>25 km)
259808,Sturgeon Volcanic Province,Australia,Eastern Australia Volcanic Regions,Northeastern Australia Volcanic Province,Shield,Shield(s),,,-20.35,144.25,0,,Intraplate / Continental crust (>25 km)
259809,Bundaberg-Boyne Province,Australia,Eastern Australia Volcanic Regions,East-Central Australia Volcanic Provinces,Minor,Pyroclastic cone(s),,,-25.58,151.87,330,,Intraplate / Continental crust (>25 km)
261101,Imun,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Minor,Lava cone,,,2.156,98.934,1503,Dacite,Subduction zone / Continental crust (>25 km)
261131,Sarik-Gajah,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Minor (Silicic),Pyroclastic cone(s),,,0.074,100.189,737,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
261171,Kunyit,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,-2.274,101.483,2151,Dacite,Subduction zone / Continental crust (>25 km)
261201,"Lumut, Bukit",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,-3.224,102.205,1738,,Subduction zone / Continental crust (>25 km)
261202,"Tiga, Bukit",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,-3.308,102.256,1629,,Subduction zone / Continental crust (>25 km)
261250,Besar,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano?,,,-4.437,103.671,1900,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
261260,Sekincau Belirang,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Caldera(s),,,-5.107,104.317,1717,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
261280,Ulubelu,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Caldera,Caldera,,,-5.334,104.59,849,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
261285,Pesawaran-Ratai,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,-5.505,105.093,1575,,
261800,Pulau Weh,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,5.82,95.28,617,,Subduction zone / Continental crust (>25 km)
261801,Olim,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Cluster,Fissure vent(s),,,5.2,96.18,0,,Subduction zone / Continental crust (>25 km)
261802,Teu Minas,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,5.17,96.43,0,,Subduction zone / Continental crust (>25 km)
261803,Geureugoh,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Cluster,Fissure vent(s),,,5.15,96.67,0,,Subduction zone / Continental crust (>25 km)
261805,"Tudeuk, Gunung",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Minor,Lava dome,,,5,96.57,0,,Subduction zone / Continental crust (>25 km)
261806,Nama Salah,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Unknown,Unknown,,,4.65,96.78,0,,Subduction zone / Continental crust (>25 km)
261807,"Telago, Gunung",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Unknown,Unknown,,,4.47,96.82,1930,,Subduction zone / Continental crust (>25 km)
261808,"Sembuang, Gunung",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Minor,Explosion crater,,,4.62,97.42,0,,Subduction zone / Continental crust (>25 km)
261809,Geureudong,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,4.813,96.82,2885,,Subduction zone / Continental crust (>25 km)
261810,Kembar,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Shield,Shield,,,3.85,97.664,2245,,Subduction zone / Continental crust (>25 km)
261811,Bekulap,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Minor,Lava dome(s) ?,,,3.288,98.351,1782,,Subduction zone / Continental crust (>25 km)
261812,Takur-Takur,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Unknown,Unknown,,,3.222,98.627,1499,,Subduction zone / Continental crust (>25 km)
261813,"Tenaroh, Bukit",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Unknown,Unknown,,,3.12,98.63,0,,Subduction zone / Continental crust (>25 km)
261814,Simbolon,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,3.02,98.9,1509,,Subduction zone / Continental crust (>25 km)
261816,Martimbang,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,1.96,98.968,1669,,Subduction zone / Continental crust (>25 km)
261817,Maninjau,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Caldera,Caldera,,,-0.35,100.2,1724,,Subduction zone / Crustal thickness unknown
261818,"Telor, Bukit",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Minor,Pyroclastic cone,,,-1.245,103.523,38,,Subduction zone / Continental crust (>25 km)
261819,Masurai,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,-2.503,101.858,2916,,Subduction zone / Continental crust (>25 km)
261820,Raja,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Unknown,Unknown,,,-4.83,104.08,1643,,Subduction zone / Continental crust (>25 km)
